Week_Ending_Date,BTC_Close_USD
2018-03-04,11463.27
2018-03-11,9535.04
2018-03-18,8188.24
2018-03-25,8453.90
2018-04-01,6813.52
2018-04-08,7027.26
2018-04-15,8354.22
2018-04-22,8789.96
2018-04-29,9393.99
2018-05-06,9623.54
2018-05-13,8696.58
2018-05-20,8518.48
2018-05-27,7347.39
2018-06-03,7703.67
2018-06-10,6781.17
2018-06-17,6453.41
2018-06-24,6153.40
2018-07-01,6349.99
2018-07-08,6706.60
2018-07-15,6349.30
2018-07-22,7396.60
2018-07-29,8216.74
2018-08-05,7032.61
2018-08-12,6310.82
2018-08-19,6481.99
2018-08-26,6700.46
2018-09-02,7290.31
2018-09-09,6236.04
2018-09-16,6499.98
2018-09-23,6702.22
2018-09-30,6597.81
2018-10-07,6577.63
2018-10-14,6183.00
2018-10-21,6413.38
2018-10-28,6405.57
2018-11-04,6421.76
2018-11-11,6357.54
2018-11-18,5559.26
2018-11-25,3938.89
2018-12-02,4102.05
2018-12-09,3529.75
2018-12-16,3193.78
2018-12-23,3943.83
2018-12-30,3835.79
2019-01-06,4040.71
2019-01-13,3515.95
2019-01-20,3536.72
2019-01-27,3533.23
2019-02-03,3414.82
2019-02-10,3650.37
2019-02-17,3625.60
2019-02-24,3730.68
2019-03-03,3789.52
2019-03-10,3897.92
2019-03-17,3965.50
2019-03-24,3969.99
2019-03-31,4096.08
2019-04-07,5190.85
2019-04-14,5162.72
2019-04-21,5295.65
2019-04-28,5160.98
2019-05-05,5709.32
2019-05-12,6974.35
2019-05-19,8200.00
2019-05-26,8733.26
2019-06-02,8734.49
2019-06-09,7632.99
2019-06-16,8974.19
2019-06-23,10831.95
2019-06-30,10760.10
2019-07-07,11469.96
2019-07-14,10191.87
2019-07-21,10600.24
2019-07-28,9533.19
2019-08-04,10986.96
2019-08-11,11528.73
2019-08-18,10318.99
2019-08-25,10136.75
2019-09-01,9767.53
2019-09-08,10400.18
2019-09-15,10305.74
2019-09-22,10020.58
2019-09-29,8047.60
2019-10-06,7854.12
2019-10-13,8282.96
2019-10-20,8235.74
2019-10-27,9557.08
2019-11-03,9207.00
2019-11-10,9024.49
2019-11-17,8499.31
2019-11-24,6908.36
2019-12-01,7412.66
2019-12-08,7524.26
2019-12-15,7115.08
2019-12-22,7509.70
2019-12-29,7385.54
2020-01-05,7356.70
2020-01-12,8180.76
2020-01-19,8696.60
2020-01-26,8590.48
2020-02-02,9329.39
2020-02-09,10173.97
2020-02-16,9912.89
2020-02-23,9965.21
2020-03-01,8528.95
2020-03-08,8033.70
2020-03-15,5343.64
2020-03-22,5813.15
2020-03-29,5870.90
2020-04-05,6775.20
2020-04-12,6908.24
2020-04-19,7126.40
2020-04-26,7701.73
2020-05-03,8915.98
2020-05-10,8731.17
2020-05-17,9665.70
2020-05-24,8718.77
2020-05-31,9446.19
2020-06-07,9750.04
2020-06-14,9329.99
2020-06-21,9283.03
2020-06-28,9118.01
2020-07-05,9076.82
2020-07-12,9306.17
2020-07-19,9211.99
2020-07-26,9944.65
2020-08-02,11071.66
2020-08-09,11683.03
2020-08-16,11914.02
2020-08-23,11644.65
2020-08-30,11708.97
2020-09-06,10260.17
2020-09-13,10334.78
2020-09-20,10923.50
2020-09-27,10780.66
2020-10-04,10669.63
2020-10-11,11372.93
2020-10-18,11519.97
2020-10-25,13039.09
2020-11-01,13762.00
2020-11-08,15489.15
2020-11-15,15975.49
2020-11-22,18435.20
2020-11-29,18192.03
2020-12-06,19380.58
2020-12-13,19162.36
2020-12-20,23470.85
2020-12-27,26259.60
2021-01-03,33097.83
2021-01-10,38173.73
2021-01-17,35819.25
2021-01-24,32288.83
2021-01-31,33141.38
2021-02-07,38858.39
2021-02-14,48662.50
2021-02-21,57492.91
2021-02-28,45240.96
2021-03-07,50967.30
2021-03-14,59016.39
2021-03-21,57381.79
2021-03-28,55790.92
2021-04-04,58212.18
2021-04-11,59979.26
2021-04-18,56280.60
2021-04-25,49128.43
2021-05-02,56622.66
2021-05-09,58305.24
2021-05-16,46444.75
2021-05-23,34706.79
2021-05-30,35677.72
2021-06-06,35808.85
2021-06-13,39013.76
2021-06-20,35589.77
2021-06-27,34699.50
2021-07-04,35289.21
2021-07-11,34258.53
2021-07-18,31776.65
2021-07-25,35428.28
2021-08-01,39839.00
2021-08-08,43858.42
2021-08-15,47028.30
2021-08-22,49301.86
2021-08-29,48808.72
2021-09-05,51809.28
2021-09-12,46035.00
2021-09-19,47245.25
2021-09-26,43204.73
2021-10-03,48235.93
2021-10-10,54714.95
2021-10-17,61538.97
2021-10-24,60910.16
2021-10-31,61359.44
2021-11-07,63300.00
2021-11-14,65509.87
2021-11-21,58678.47
2021-11-28,57338.55
2021-12-05,49463.22
2021-12-12,50124.38
2021-12-19,46704.67
2021-12-26,50791.21
2022-01-02,47350.22
2022-01-09,41875.81
2022-01-16,43107.70
2022-01-23,36293.62
2022-01-30,37941.82
2022-02-06,42420.24
2022-02-13,42077.74
2022-02-20,38373.90
2022-02-27,37712.68
2022-03-06,38438.89
2022-03-13,37790.54
2022-03-20,41242.14
2022-03-27,46864.39
2022-04-03,46401.57
2022-04-10,42133.85
2022-04-17,39691.27
2022-04-24,39467.40
2022-05-01,38488.34
2022-05-08,34025.50
2022-05-15,31295.03
2022-05-22,30264.66
2022-05-29,29448.94
2022-06-05,29888.98
2022-06-12,26585.10
2022-06-19,20552.82
2022-06-26,21028.69
2022-07-03,19294.46
2022-07-10,20856.08
2022-07-17,20801.85
2022-07-24,22595.81
2022-07-31,23322.53
2022-08-07,23187.62
2022-08-14,24320.00
2022-08-21,21514.00
2022-08-28,19557.00
2022-09-04,20007.00
2022-09-11,21835.00
2022-09-18,19419.00
2022-09-25,18810.00
2022-10-02,19051.00
2022-10-09,19445.00
2022-10-16,19264.00
2022-10-23,19574.00
2022-10-30,20628.00
2022-11-06,20907.00
2022-11-13,16310.00
2022-11-20,16256.00
2022-11-27,16424.00
2022-12-04,17114.00
2022-12-11,17091.00
2022-12-18,16749.00
2022-12-25,16828.00
2023-01-01,16615.00
2023-01-08,17119.00
2023-01-15,20885.00
2023-01-22,22717.00
2023-01-29,23746.00
2023-02-05,22937.00
2023-02-12,21789.00
2023-02-19,24296.00
2023-02-26,23562.00
2023-03-05,22428.00
2023-03-12,22183.00
2023-03-19,28054.00
2023-03-26,28004.00
2023-04-02,28186.00
2023-04-09,28340.00
2023-04-16,30330.00
2023-04-23,27596.00
2023-04-30,29235.00
2023-05-07,28472.00
2023-05-14,26933.00
2023-05-21,26750.00
2023-05-28,28072.00
2023-06-04,27125.00
2023-06-11,25941.00
2023-06-18,26340.00
2023-06-25,30477.00
2023-07-02,30616.00
2023-07-09,30167.00
2023-07-16,30253.00
2023-07-23,30085.00
2023-07-30,29279.00
2023-08-06,29042.00
2023-08-13,29284.00
2023-08-20,26192.00
2023-08-27,26090.00
2023-09-03,25970.00
2023-09-10,25836.00
2023-09-17,26535.00
2023-09-24,26248.00
2023-10-01,27995.00
2023-10-08,27933.00
2023-10-15,27174.00
2023-10-22,30002.00
2023-10-29,34538.00
2023-11-05,35045.00
2023-11-12,37086.00
2023-11-19,37426.00
2023-11-26,37460.00
2023-12-03,39989.00
2023-12-10,43786.00
2023-12-17,41345.00
2023-12-24,43033.00
2023-12-31,42258.00
2024-01-07,43944.00
2024-01-14,41715.00
2024-01-21,41560.00
2024-01-28,42026.00
2024-02-04,42570.00
2024-02-11,48313.00
2024-02-18,52130.00
2024-02-25,51722.00
2024-03-03,63142.00
2024-03-10,69026.00
2024-03-17,68352.00
2024-03-24,67188.00
2024-03-31,71285.00
2024-04-07,69358.00
2024-04-14,65749.00
2024-04-21,64950.00
2024-04-28,63098.00
2024-05-05,64021.00
2024-05-12,61462.00
2024-05-19,66275.00
2024-05-26,68489.00
2024-06-02,67752.00
2024-06-09,69640.00
2024-06-16,66622.00
2024-06-23,63154.00
2024-06-30,62676.00
2024-07-07,55829.00
2024-07-14,60823.00
2024-07-21,68158.00
2024-07-28,68264.00
2024-08-04,58142.00
2024-08-11,58725.00
2024-08-18,58430.00
2024-08-25,64262.00
2024-09-01,57310.00
2024-09-08,54866.00
2024-09-15,59130.00
2024-09-22,63563.00
2024-09-29,65601.00
2024-10-06,62814.00
2024-10-13,62849.00
2024-10-20,69011.00
2024-10-27,67938.00
2024-11-03,68738.00
2024-11-10,80425.00
2024-11-17,89861.00
2024-11-24,98007.00
2024-12-01,97291.00
2024-12-08,101204.00
2024-12-15,104427.00
2024-12-22,95098.00
2024-12-29,93557.00
2025-01-05,98327.00
2025-01-12,94497.00
2025-01-19,101237.00
2025-01-26,102573.00
2025-02-02,97675.00
2025-02-09,96477.00
2025-02-16,96132.00
2025-02-23,96262.00
2025-03-02,94273.00
2025-03-09,80708.00
2025-03-16,82555.00
2025-03-23,86084.00
2025-03-30,82359.00
2025-04-06,78342.00
2025-04-13,83712.00
2025-04-20,85198.00
2025-04-27,93769.00
2025-05-04,94316.00
2025-05-11,104129.00
2025-05-18,106520.00
2025-05-25,109068.00
2025-06-01,105705.00
2025-06-08,105792.00
2025-06-15,105617.00
2025-06-22,101015.00
2025-06-29,108384.00
2025-07-06,109233.00
2025-07-13,119135.00
2025-07-20,117339.00
2025-07-27,119469.00
2025-08-03,114226.00
2025-08-10,119310.00
2025-08-17,117490.00
2025-08-24,113478.00
2025-08-31,108269.00
2025-09-07,111144.00
2025-09-14,115342.00
2025-09-21,115292.00
2025-09-28,112203.00
2025-10-05,123519.00
2025-10-12,115090.00
2025-10-19,108684.00
2025-10-26,114551.00
2025-11-02,110530.00
2025-11-09,104705.00
2025-11-16,94187.00
2025-11-23,86803.00
2025-11-30,90382.00
2025-12-07,90405.00
2025-12-14,88164.00
2025-12-21,88636.00
2025-12-28,87870.00
2026-01-04,91501.00
2026-01-11,90872.00
2026-01-18,93636.00
2026-01-25,86567.00
2026-02-01,89048.00
